properties.subDivision,Longitude,Latitude
KY,-85.734864,37.55251
KY,-87.082532,37.779596
TN,-85.286977,35.046745
GA,-85.514245,34.868951
KY,-85.071399,37.062248
TN,-88.631708,35.441098
TN,-88.788838,35.79441
KY,-85.34002,37.344669
KY,-85.911038,37.672694
TN,-85.19346,35.084749
TN,-88.781869,35.674037
KY,-88.563807,37.04913
TN,-85.28946,34.991259
TN,-88.873455,36.348437
TN,-85.228456,35.013541
AL,-87.274349,34.485517
KY,-85.867769,37.701751
AL,-86.942206,34.440949
KY,-84.835685,36.849017
TN,-85.184657,35.030299
TN,-88.829128,35.652982
KY,-88.890356,36.513225
TN,-85.210022,34.990016
KY,-88.626101,37.069073
KY,-85.886322,37.731374
TN,-88.856692,35.689364
GA,-85.244466,34.953032
TN,-85.155316,35.031686
KY,-85.830806,37.71388
TN,-84.790678,35.516902
TN,-88.931136,35.967252
TN,-88.85259,35.65998
TN,-84.6601,35.881505
TN,-88.814752,35.563458
KY,-88.655299,37.045892
AL,-85.752761,34.62459
TN,-88.915592,35.836686
TN,-88.579338,35.156281
TN,-85.062009,35.084597
GA,-85.271142,34.88228
KY,-88.677412,37.080189
MS,-88.206416,34.799106
KY,-87.913749,37.687502
IN,-86.759067,37.937076
KY,-85.915116,37.796888
AL,-86.893545,34.367351
TN,-84.952911,35.152772
TN,-85.095465,34.998877
TN,-84.583132,35.910903
KY,-87.590773,37.835568
AL,-87.716778,34.512602
TN,-84.883204,35.213368
TN,-84.817595,35.2908
KY,-85.937466,37.839986
KY,-87.573385,37.866313
TN,-84.880148,35.189909
AL,-85.847624,34.494698
GA,-85.124897,34.911642
IL,-88.712974,37.15356
AL,-86.5024,34.326745
TN,-84.844862,35.201147
AL,-86.308682,34.340973
TN,-89.071025,36.414702
TN,-84.509851,35.878121
TN,-84.867424,35.130294
MS,-88.516385,34.922388
KY,-85.262578,37.565523
TN,-84.506322,36.515509
KY,-85.723472,37.827319
GA,-85.280517,34.723566
IN,-87.393083,37.977023
TN,-84.623452,35.45017
IN,-87.513955,37.955469
KY,-86.163307,37.980781
KY,-84.92509,37.323941
IN,-87.49384,37.969177
IN,-87.473318,37.978009
IN,-87.543957,37.963396
TN,-89.098054,35.744402
IN,-87.492208,37.98389
AL,-85.733468,34.432931
IN,-87.564366,37.97794
TN,-84.510459,35.599205
IN,-87.539151,37.992734
AL,-86.207737,34.27663
IN,-87.281889,38.049627
IN,-87.492767,38.009015
IN,-87.628548,37.978148
IN,-87.600054,37.986435
AL,-86.876561,34.206626
KY,-84.625919,37.037339
KY,-84.472804,36.740518
GA,-84.946002,34.893838
IN,-87.574525,38.011998
KY,-85.452042,37.805831
TN,-84.720522,35.127005
KY,-85.233182,37.691731
KY,-84.618718,37.092227
IN,-87.883791,37.934825
TN,-84.390153,35.730771
AL,-86.835977,34.160927
IN,-87.546009,38.057281
TN,-88.99797,35.256729
TN,-89.276345,36.122125
TN,-84.520901,35.33891
TN,-84.323289,35.873002
GA,-84.999618,34.760363
GA,-84.961474,34.791752
AL,-86.15115,34.198927
KY,-85.708162,37.990848
AL,-88.136499,34.437854
GA,-85.33595,34.493868
AL,-87.621923,34.227335
GA,-84.929105,34.765892
TN,-84.251395,36.004794
IN,-86.866578,38.208689
AL,-86.394984,34.118741
TN,-84.238672,36.025708
TN,-84.367407,35.51117
MS,-88.56399,34.670124
TN,-84.261486,35.802539
AL,-86.776431,34.071633
TN,-89.247412,35.54057
KY,-85.868934,38.103304
IL,-88.874012,37.414954
IN,-87.551809,38.158076
GA,-84.980294,34.655762
AL,-86.86875,34.051653
KY,-85.693976,38.065231
IL,-88.536431,37.729322
TN,-89.394863,36.061347
KY,-85.850455,38.127988
TN,-84.177962,36.334393
IL,-88.440319,37.806748
TN,-84.270433,35.579325
KY,-85.871425,38.144269
TN,-84.158517,36.231377
KY,-85.6684,38.083325
TN,-84.159432,35.947176
GA,-84.771511,34.784693
KY,-85.835601,38.152515
TN,-84.137192,36.093971
IN,-86.132218,38.23069
KY,-85.538379,38.051897
TN,-84.154806,35.88456
KY,-85.7772,38.144809
TN,-84.14212,35.903237
KY,-85.712012,38.136342
KY,-85.821008,38.177351
KY,-85.68425,38.132909
KY,-85.841691,38.195419
KY,-84.771295,37.617134
KY,-85.766998,38.174383
KY,-84.803893,37.647858
KY,-85.708375,38.157593
TN,-84.086103,36.164589
KY,-84.166156,36.726024
TN,-84.099882,35.910057
KY,-85.706865,38.168409
AL,-85.668273,34.159739
TN,-84.09191,35.921112
MO,-89.354345,36.90423
TN,-84.114331,36.581773
KY,-85.660637,38.158021
KY,-85.783017,38.200438
TN,-84.075797,35.990007
KY,-84.655103,37.541516
KY,-85.796634,38.214444
TN,-84.069428,35.944496
KY,-85.732251,38.197822
AL,-86.076729,34.018371
KY,-85.341049,38.040062
TN,-84.065488,35.925047
AL,-86.470674,33.949926
TN,-84.068175,35.861059
KY,-85.754754,38.21499
IL,-88.177966,38.079551
AL,-86.020164,34.020361
KY,-85.597376,38.163287
MS,-88.653583,34.524781
KY,-85.720918,38.211422
AL,-86.09301,33.997605
KY,-84.844481,37.751547
KY,-85.63765,38.186317
TN,-84.026936,36.00542
TN,-84.024559,36.006643
KY,-85.667963,38.206423
KY,-85.797974,38.248955
IN,-86.94049,38.39004
KY,-85.772104,38.247196
TN,-84.023464,35.931447
IN,-85.914036,38.289964
AL,-86.003786,33.99818
KY,-85.755441,38.246243
KY,-85.684679,38.223477
KY,-85.717166,38.236689
AL,-87.990296,34.123882
TN,-83.998971,36.050083
KY,-85.565686,38.188963
KY,-85.74525,38.253542
MS,-88.94583,34.730709
KY,-85.783496,38.267331
KY,-85.628789,38.219061
TN,-89.544862,35.761877
KY,-85.597549,38.211618
GA,-84.921829,34.471798
